,Country,Cloudiness,Humidity,Date,Latitude,Longitude,Max Temp,Wind Speed,City
230,TO,20,94,1616429549,-18.65,-173.9833,23.0,2.29,neiafu
231,PT,40,72,1616429551,37.8,-25.5833,16.0,4.12,rabo de peixe
232,CD,3,64,1616429428,-5.35,21.4167,27.43,0.77,luebo
233,MX,52,55,1616429553,30.4833,-115.95,14.41,2.33,san quintin
234,MX,59,53,1616429555,23.1667,-97.95,25.0,1.34,nuevo progreso
235,ZA,20,72,1616429556,-33.963,22.4617,19.0,6.17,george
236,DE,75,60,1616429557,50.3167,11.9167,4.44,2.57,hof
237,RU,100,95,1616429559,61.3833,152.75,-11.76,3.53,talaya
238,RU,100,86,1616429560,52.5844,32.7633,-1.66,3.33,starodub
239,ES,20,49,1616429562,27.9054,-15.4461,20.0,7.72,aguimes
240,AU,90,94,1616429563,-31.95,141.4333,18.0,4.12,broken hill
241,BG,100,91,1616429357,42.3333,23.55,0.56,2.22,samokov
242,SE,0,74,1616429419,65.3172,21.4794,-1.0,2.57,pitea
243,TL,75,92,1616429280,-8.9266,125.4092,16.6,0.15,airai
244,CN,71,14,1616429568,40.2833,97.2,7.44,8.49,yumen
245,SO,44,69,1616429569,11.2842,49.1816,25.36,0.93,bosaso
246,JP,0,82,1616429301,42.975,144.3747,0.38,4.45,kushiro
247,IS,97,60,1616429572,64.8945,-23.7142,2.48,18.04,olafsvik
248,RU,100,96,1616429573,61.67,96.37,-9.98,0.38,baykit
249,AO,90,73,1616429575,-15.1961,12.1522,26.0,6.69,namibe
250,US,20,30,1616429576,42.1584,-72.3287,15.0,2.57,palmer
251,ML,0,8,1616429577,22.6783,-3.9836,27.85,6.88,taoudenni
252,US,0,23,1616429579,40.854,-74.8291,15.0,1.54,hackettstown
253,MN,100,55,1616429582,48.8125,103.5347,-0.07,1.75,bulgan
254,US,20,56,1616429584,32.296,-81.2354,20.0,5.14,rincon
255,NA,5,87,1616429587,-22.116,14.2845,17.78,0.89,henties bay
256,RU,99,98,1616429588,63.9242,127.4739,-28.37,2.11,sangar
257,RU,68,81,1616429590,50.2981,103.3097,-3.92,1.53,kholtoson
258,AU,98,94,1616429591,-20.0167,148.2333,24.0,1.51,bowen
259,RU,90,100,1616429593,54.9159,85.6385,0.0,3.0,promyshlennaya
260,BR,75,70,1616429594,-5.1989,-35.4608,29.0,6.17,touros
261,AO,97,88,1616429595,-10.7073,22.2247,23.05,0.91,luau
262,AO,100,86,1616429597,-11.7833,19.9167,22.29,1.19,luena
263,KZ,0,66,1616429598,44.5086,50.263,4.19,2.91,fort-shevchenko
264,PR,7,58,1616429364,18.073,-66.6185,28.33,5.36,ponce
265,ID,4,76,1616429601,-8.4667,140.3333,25.46,0.52,merauke
266,JP,3,67,1616429602,39.2667,141.8833,3.03,3.41,kamaishi
267,IS,90,70,1616429603,64.2539,-15.2082,5.0,11.83,hofn
268,PT,40,72,1616429605,37.7333,-25.6667,16.0,4.12,ponta delgada
269,RU,100,75,1616429606,51.3223,42.7678,2.22,3.47,kamenka
270,PF,5,78,1616429608,-16.4833,-151.75,28.06,6.28,faanui
271,JP,28,72,1616429609,24.8,125.2833,16.63,10.02,hirara
272,US,1,39,1616429610,41.5284,-87.4237,16.11,6.69,griffith
273,RU,60,96,1616429612,56.8479,124.9104,-24.81,3.11,chulman
274,RU,100,79,1616429613,65.9811,60.3094,-7.5,3.66,verkhnyaya inta
275,RU,20,62,1616429615,45.9241,47.0474,5.19,6.71,zenzeli
276,GL,20,50,1616429616,60.9167,-46.05,-3.0,0.51,narsaq
277,ZM,73,92,1616429617,-12.529,27.8838,20.38,1.88,chingola
278,RU,62,85,1616429619,50.147,48.5704,-0.28,4.97,aleksandrov gay
279,MY,100,83,1616429620,2.4312,103.8405,28.0,3.35,mersing
280,RO,75,45,1616429621,46.3667,26.4833,6.0,7.72,darmanesti
281,CA,95,68,1616429623,55.1001,-105.2842,-7.0,4.12,la ronge
282,IR,0,13,1616429624,31.6128,55.4107,20.3,0.55,bafq
283,IL,100,60,1616429626,32.8156,34.9892,23.0,3.09,haifa
284,RU,100,96,1616429627,60.34,102.2797,-14.87,1.86,vanavara
285,US,40,60,1616429628,21.4447,-157.8378,22.0,6.17,ahuimanu
286,RU,100,86,1616429630,43.4456,41.7448,4.08,5.08,teberda
287,NZ,17,94,1616429631,-45.4167,167.7167,11.08,0.09,te anau
